TC ID;TEST CASE NAME;CONTROL FLOW;OR;PAGE;ELEMENT REF;ACTION;TEST DATA;EXPECTED RESULT;DESCRIPTION;PRIORITY;FLAGS;SERVICE CONFIG;REMARKS
;;;DMIOnlineSync;RightPane;CAAmazonBulletFeature2;CLEARFIELD;;;CAAmazonBulletFeature2 ClearField;;;;
;;;DMIOnlineSync;RightPane;CAAmazonBulletFeature3;CLEARFIELD;;;CAAmazonBulletFeature3 ClearField;;;;
;;;DMIOnlineSync;RightPane;CAAmazonBulletFeature4;CLEARFIELD;;;CAAmazonBulletFeature4 ClearField;;;;
;;;DMIOnlineSync;RightPane;CAAmazonBulletFeature5;CLEARFIELD;;;CAAmazonBulletFeature5 ClearField;;;;
;;;DMIOnlineSync;Home;Hexcode_Eyes;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Hexcode;;IGNORE TESTSTEP;;
;;;DMIOnlineSync;Home;Hexcode_Eyes;ENTER;Automation_Hexcode;;Enter Hexcode;;IGNORE TESTSTEP;;
;;;Custom;;;WAIT;15;;Custom Wait;;IGNORE TESTSTEP;;
;;;DMIOnlineSync;RightPane;EnrichmentComments;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Enrichment Comments;;IGNORE TESTSTEP;;
;;;DMIOnlineSync;RightPane;EnrichmentComments;ENTER;Automation_Comments;;Enter Value in Enrichment Comments;;IGNORE TESTSTEP;;
;;;DMIOnlineSync;Home;Launch_Date_Icon;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Launch Date;;IGNORE TESTSTEP;;
;;;DMIOnlineSync;Home;Launch_Date_Icon;CLICK;;;Click Launch Date;;IGNORE TESTSTEP;;
;;;Custom;;;WAIT;10;;Custom Wait;;IGNORE TESTSTEP;;
;;;DMIOnlineSync;Home;Date_Ok;CLICK;;;Click OK;;IGNORE TESTSTEP;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Complete_EnrichmentCA;EXPLICITWAIT;$HybrisGermanEnv.MaxWait.Field1;;Wait for Complete Enrichment;;;;
;;;DMIOnlineSync;Home;Complete_EnrichmentCA;CLICK;;;Click Complete my  Enrichment;;;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Loading Indicator;;IGNORE REPORT;;
;;;Custom;;;KEYBOARDACTION;Escape;;Pressing Escape Key for Alert Popup;;;;
;;;Custom;;;WAIT;2;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Loading_Indicator;WAITTILLOBJAVAILABLE;90;;Wait till Loading Indicator;;IGNORE REPORT;;
;;;Custom;;;WAIT;5;;Custom Wait;;;;
;;;DMIOnlineSync;Home;Progressbar_Indicator;WAITTILLOBJAVAILABLE;60;;Wait till Progress Bar;;IGNORE REPORT;;
;;;DMIOnlineSync;Home;Select_Particular_Ean_Lancome;VERIFYELEMENTNOTPRESENT;;;Verify Task is not Present;;;;
